Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3
3.7980513139204546e-08,0.9951160728436985,0.09159202234161853,0.09223525322313626,-6.432308815177316e-06,4.137459669380781e-09,5.841365758114604e-06,-0.0004216780553304083,0.00021149351120022252,0.00031703191161683883
3.798976089015152e-08,0.9950888250648231,0.09158847039936692,0.09221893154780796,-6.304611484410782e-06,3.974812596936432e-09,5.819881231079801e-06,-0.00042120227107931397,0.0002130038811906738,0.0003162720828612775
3.799900864109849e-08,0.99506628565181,0.09158530829962064,0.09220247114933705,-6.171628497164059e-06,3.8088998307007504e-09,5.798647941801215e-06,-0.0004207264888017438,0.00021451107934605037,0.00031550267006472495
3.8008256392045455e-08,0.9950485295592544,0.09158254220350337,0.09218586922527337,-6.033270217699961e-06,3.6400349519785335e-09,5.777669572252639e-06,-0.0004202507230467023,0.00021601507179515585,0.0003147236829328297
3.801750414299243e-08,0.995035612561525,0.09158017662997893,0.09216912282365616,-5.889461936772239e-06,3.468576190468901e-09,5.756949044229072e-06,-0.000419774986993311,0.0002175158263351416,0.0003139351328062605
3.80267518939394e-08,0.9950275710947729,0.09157821444402449,0.09215222886424325,-5.740144202187618e-06,3.2949255461908127e-09,5.736488512843129e-06,-0.00041929929242092974,0.0002190133124710479,0.00031313703268987853
3.8035999644886364e-08,0.9950244221756557,0.0915766568513579,0.09213518416015877,-5.585273088008095e-06,3.1195275467627475e-09,5.716289362966232e-06,-0.0004188236496846878,0.00022050750144881736,0.0003123293972764935
3.8045247395833336e-08,0.995026163396838,0.09157550339971834,0.0921179854398709,-5.42482040152584e-06,2.9428676388810972e-09,5.696352208598089e-06,-0.00041834806769650153,0.00022199836628166556,0.000311512242965135
3.805449514678031e-08,0.9950327729990205,0.09157475198667232,0.0921006293694148,-5.258773827424676e-06,2.7654702168006773e-09,5.676676895137554e-06,-0.0004178725539116377,0.00022348588176971336,0.00031068558787378903
3.806374289772727e-08,0.9950442100189637,0.09157439887389346,0.0920831125747702,-5.0871370087664915e-06,2.5878962945961686e-09,5.657262504519924e-06,-0.00041739711432084984,0.00022497002451285863,0.00030984945184655047
3.8072990648674245e-08,0.9950604145126876,0.09157443870783907,0.09206543166430783,-4.909929564687234e-06,2.410740833018977e-09,5.638107363177554e-06,-0.00041692175344810263,0.0002264507729168371,0.00030900385645519666
3.808223839962122e-08,0.9950813078526997,0.09157486454671938,0.09204758325121469,-4.727187044952463e-06,2.2346297357966406e-09,5.619209052771237e-06,-0.0004164464743538759,0.00022792810719248462,0.000308148824995183
3.809148615056818e-08,0.9951067930978555,0.09157566789363526,0.09202956397581129,-4.538960821759281e-06,2.060216534146569e-09,5.600564423632639e-06,-0.00041597127864401255,0.0002294020093482213,0.00030728438247609535
3.8100733901515154e-08,0.9951367554341515,0.09157683873573154,0.09201137052767343,-4.34531791941831e-06,1.888178782081787e-09,5.582169610849794e-06,-0.0004154961664840586,0.0002308724631758218,0.0003064105556066067
3.8109981652462126e-08,0.9951710626845016,0.09157836558919434,0.09199299966747235,-4.14634078277931e-06,1.7192141886938938e-09,5.564020052921212e-06,-0.00041502113661902703,0.00023233945422952858,0.000305527372774027
3.811922940340909e-08,0.99520956588525,0.09158023554989618,0.09197444824844908,-3.942126985529168e-06,1.5540365170037282e-09,5.546110512895012e-06,-0.0004145461863984775,0.0002338029697986385,0.00030463486401852244
3.8128477154356064e-08,0.9952520999269501,0.09158243434947037,0.0919557132374397,-3.7327888796928425e-06,1.3933712820358547e-09,5.528435101903952e-06,-0.0004140713118068086,0.0002352629988736822,0.00030373306100212917
3.8137724905303035e-08,0.9952984842566832,0.09158494641657877,0.09193679173537006,-3.5184531879126047e-06,1.237951283553237e-09,5.510987305000341e-06,-0.00041359650749862365,0.0002367195321063346,0.0003028219969727026
3.814697265625e-08,0.9953485236389666,0.091587754943114,0.09191768099714288,-3.2992605402879937e-06,1.0885120112701425e-09,5.493760009187344e-06,-0.0004131217668390127,0.00023817256176326366,0.0003019017067229421
3.815622040719697e-08,0.9954020089720569,0.09159084195506176,0.09189837845083947,-3.0753649577769995e-06,9.457869623522725e-10,5.476745533537455e-06,-0.00041264708194857914,0.00023962208167409532,0.0003009722265446746
3.8165468158143945e-08,0.9954587181562785,0.09159418838772757,0.09187888171616486,-2.846933284372876e-06,8.105029125670131e-10,5.459935661282594e-06,-0.0004121724437530237,0.00024106808717372735,0.00030003359417858606
3.817471590909091e-08,0.9955184170107985,0.09159777416502121,0.09185918862206457,-2.614144570433411e-06,6.833751835126482e-10,5.44332167375434e-06,-0.0004116978420370716,0.00024251057503923285,0.0002990858487596054
3.818396366003788e-08,0.9955808602350861,0.09160157828247273,0.09183929722344841,-2.377189409755694e-06,5.651029489854624e-10,5.426894386047028e-06,-0.00041122326550252177,0.00024394954342162538,0.00029812903075816544
3.8193211410984854e-08,0.9956457924111519,0.09160557889364364,0.09181920581695778,-2.1362692331404566e-06,4.5636462364625145e-10,5.410644184271332e-06,-0.0004107487018301815,0.00024538499177275124,0.00029716318191758535
3.820245916193182e-08,0.9957129490424816,0.09160975339958086,0.09179891295571774,-1.8915955613679919e-06,3.578133767787088e-10,5.394561064259813e-06,-0.0004102741377454273,0.0002468169207676332,0.00029618834518782094
3.821170691287879e-08,0.9957820576254947,0.09161407854095538,0.09177841746301942,-1.6433892206397732e-06,2.700728130515001e-10,5.37863467158225e-06,-0.00040979955908712737,0.0002482453322225734,0.00029520456465585
3.822095466382576e-08,0.9958528387491855,0.09161853049251327,0.09175771844488256,-1.3918795236927011e-06,1.9373286084750205e-10,5.362854342722677e-06,-0.0004093249508796475,0.0002496702290093367,0.00029421188547297815
3.823020241477273e-08,0.995925007218576,0.09162308495946166,0.09173681530145257,-1.1373034199081528e-06,1.2934590689347803e-10,5.3472091472667515e-06,-0.0004088502974076499,0.0002510916149657864,0.00029321035377935
3.82394501657197e-08,0.9959982731974675,0.09162771727540568,0.09171570773719061,-8.79904617848919e-07,7.742321365118522e-11,5.331687930943305e-06,-0.0004083755822933808,0.0002525094948033206,0.00029220001662595935
3.824869791666667e-08,0.9960723433659497,0.09163240250144548,0.09169439576982143,-6.199326837591889e-07,3.8431653239287054e-11,5.316279359360948e-06,-0.0004079007885761453,0.00025392387401147005,0.000291180921894484
3.825794566761364e-08,0.996146922088086,0.09163711552604176,0.09167287973800634,-3.576421196446096e-07,1.2790788574388927e-11,5.300971962276585e-06,-0.0004074258987936473,0.00025533475876005453,0.00029015311821524323
3.826719341856061e-08,0.9962217125851482,0.09164183116525605,0.09165116030771708,-9.32914246091188e-08,8.703289905598895e-13,5.285754178231261e-06,-0.00040695089506487,0.00025674215579929807,0.0002891166548836039
3.827644116950758e-08,0.9962964181097806,0.09164652426296847,0.09162923847728778,1.7285785680817518e-07,2.9879838660315597e-12,5.270614399385072e-06,-0.0004064757591741796,0.0002581460723582562,0.0002880715817751766
3.8285688920454547e-08,0.9963707431164832,0.09165116979068226,0.09160711558113015,4.4054209552175597e-07,1.9407733792669995e-11,5.255541016382189e-06,-0.0004060004726563094,0.00025954651604200604,0.0002870179492601117
3.829493667140152e-08,0.996444394423816,0.09165574294652272,0.09158479329210166,7.09496544212095e-07,5.0338534624890535e-11,5.2405224630751605e-06,-0.000405525016881895,0.00026094349472797975,0.0002859558081168386
