Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3,I_res4,I_res5
1.0221539121685607e-07,0.9957487817236609,0.09142561766530335,0.0898355345497652,2.10022865610639e-05,3.3395381248441455e-08,1.0314820442450005e-06,-0.00018729174935906858,0.0005878004385737409,-0.0003136361257718514,2.794843290279711e-05,-8.319032171939926e-05
1.0222463896780304e-07,0.9957084732831828,0.09142205270086527,0.08983329156372628,2.0984825480635396e-05,3.3339875193275775e-08,1.026067833972531e-06,-0.00018672987391032354,0.0005870632640661666,-0.00031456708424496785,2.929397864624566e-05,-8.294790095401065e-05
1.0223388671875e-07,0.9956705024521865,0.09141868412166773,0.08983107251138651,2.0969642191008042e-05,3.3291647405887264e-08,1.0207114473569799e-06,-0.00018616820304094428,0.0005863206851258344,-0.00031548893373904295,3.0637488274488365e-05,-8.270567101540542e-05
1.0224313446969698e-07,0.9956350161770753,0.09141552388859965,0.08982887495965347,2.0956926812127262e-05,3.3251285480464675e-08,1.0154157759127195e-06,-0.0001856067575636876,0.000585572688571287,-0.0003164016708792579,3.19788696108861e-05,-8.246366946697037e-05
1.0225238222064395e-07,0.9956021515248707,0.09141258311073765,0.08982669615054827,2.094686250415143e-05,3.321935610221204e-08,1.0101835333400312e-06,-0.00018504555772874218,0.0005848192618300981,-0.0003173052919532539,3.331803117180225e-05,-8.222193319277228e-05
1.0226162997159091e-07,0.9955720351575083,0.09140987200274306,0.08982453301181376,2.0939624764618414e-05,3.3196403594777504e-08,1.005017246239214e-06,-0.0001844846231513759,0.0005840603930111625,-0.0003181997928313917,3.465488224410909e-05,-8.198049825478525e-05
1.0227087772253789e-07,0.9955447828473969,0.09140739984580352,0.08982238216876373,2.0935380756039672e-05,3.3182948573880965e-08,9.999192456283278e-07,-0.00018392397274214712,0.0005832960709744252,-0.0003190851688898083,3.598933296006935e-05,-8.173939975349087e-05
1.0228012547348486e-07,0.9955204990360408,0.09140517495226569,0.08982023995732427,2.0934288666507825e-05,3.317948670175144e-08,9.948916592840554e-07,-0.00018336362463996207,0.0005825262853977558,-0.00031996141493653246,3.7321294369320495e-05,-8.14986716923972e-05
1.0228937322443182e-07,0.9954992764374553,0.09140320463409793,0.08981810243821846,2.0936497105791044e-05,3.318648753641292e-08,9.899364049180136e-07,-0.00018280359614822737,0.0005817510268407383,-0.0003208285251410049,3.865067850770393e-05,-8.1258346846994e-05
1.022986209753788e-07,0.9954811956878183,0.09140149517529773,0.08981596541223377,2.094214453921454e-05,3.320439346931147e-08,9.850551842002208e-07,-0.00018224390367433204,0.0005809702868051126,-0.0003216864929672372,3.9977398462693254e-05,-8.101845663864693e-05
1.0230786872632577e-07,0.9954663250427273,0.09140005180834977,0.08981382443651484,2.0951358761522443e-05,3.323361874465909e-08,9.802494776371396e-07,-0.00018168456267272598,0.0005801840577916571,-0.0003225353111108652,4.1301368435151376e-05,-8.07790310139303e-05
1.0231711647727273e-07,0.9954547201231189,0.09139887869481765,0.08981167484181406,2.096425641267299e-05,3.3274548553547314e-08,9.755205403074223e-07,-0.00018112558759175184,0.0005793923333532615,-0.0003233749714403618,4.2622503797273125e-05,-8.054009832983653e-05
1.0232636422821971e-07,0.9954464237109216,0.09139797891015126,0.08980951175063485,2.0980942537529523e-05,3.3327538196565494e-08,9.708693984604853e-07,-0.0001805669918245012,0.0005785951081440267,-0.0003242054649426324,4.3940721146410866e-05,-8.03016852453318e-05
1.0233561197916667e-07,0.9954414655950313,0.09139735443275102,0.08980733009619198,2.1001510190978295e-05,3.339291230814664e-08,9.662968469725596e-07,-0.00018000878766382078,0.0005777923779641905,-0.0003250267816731678,4.525593835466386e-05,-8.00638166196471e-05
1.0234485973011364e-07,0.9954398624682523,0.09139700613733577,0.08980512464211776,2.1026040090053024e-05,3.347096413706541e-08,9.61803447660938e-07,-0.0001794509862616833,0.0005769841398006855,-0.00032583891071099187,4.6568074614036804e-05,-7.982651541771193e-05
1.0235410748106062e-07,0.9954416178755563,0.09139693379263536,0.08980289000283466,2.1054600314366355e-05,3.356195487785106e-08,9.573895284480034e-07,-0.00017889359759304578,0.0005761703918632212,-0.00032664184011855943,4.787705047700366e-05,-7.958980262307785e-05
1.0236335523200758e-07,0.9954467222137233,0.091397136063407,0.08980062066451343,2.108724605591781e-05,3.36661130485298e-08,9.530551833684019e-07,-0.00017833663042434315,0.0005753511336157243,-0.0003274355569067219,4.918278789234223e-05,-7.935369715866805e-05
1.0237260298295455e-07,0.9954551527824353,0.09139761051676976,0.08979831100653674,2.112401941927056e-05,3.378363391139124e-08,9.488002734094728e-07,-0.00017778009228673999,0.0005745263658030208,-0.0003282200470049669,5.0485210236136004e-05,-7.911821581565504e-05
1.0238185073390153e-07,0.9954668738864393,0.09139835363282148,0.0897959553233811,2.1164949272755338e-05,3.3914678934052996e-08,9.446244281725034e-07,-0.0001772239894542158,0.0005736960904726763,-0.0003289952952369558,5.1784242337827916e-05,-7.888337319072367e-05
1.0239109848484849e-07,0.9954818369884181,0.09139936081949739,0.08979354784683499,2.1210051151266713e-05,3.4059375289537214e-08,9.405270483419181e-07,-0.0001766683269265988,0.0005728603109919214,-0.0003297612853015283,5.3079810501223365e-05,-7.864918163197111e-05
1.0240034623579546e-07,0.9954999809118924,0.09140062643160451,0.08979108276846196,2.1259327210969712e-05,3.421781539508958e-08,9.36507308946674e-07,-0.00017611310841756175,0.0005720190320595559,-0.0003305179997591996,5.4371842520459505e-05,-7.841565119362271e-05
1.0240959398674244e-07,0.9955212320932845,0.09140214379395428,0.08978855426222401,2.13127662360343e-05,3.439005649067688e-08,9.325641633976902e-07,-0.0001755583363476714,0.0005711722597128597,-0.0003312654200241946,5.5660267690788114e-05,-7.818278959975283e-05
1.024188417376894e-07,0.9955455048821368,0.09140390522849837,0.08978595650717641,2.1370343697291575e-05,3.457612025924339e-08,9.286963482813437e-07,-0.00017500401184246668,0.000570320001329437,-0.0003320035263620799,5.694501681424461e-05,-7.795060221712388e-05
1.0242808948863637e-07,0.9955727018882637,0.09140590208536055,0.08978328371014382,2.1432021862589115e-05,3.477599249228147e-08,9.249023888919166e-07,-0.00017445013473559943,0.000569462265624014,-0.00033273229789297225,5.822602220015325e-05,-7.771909203724815e-05
1.0243733723958335e-07,0.9956027143743915,0.09140812477763131,0.08978053012829064,2.1497749958269695e-05,3.4989622804941825e-08,9.21180605478288e-07,-0.00017389670357699527,0.0005685990626401959,-0.0003334517126002983,5.950321766050905e-05,-7.748825966772824e-05
1.0244658499053031e-07,0.9956354226927759,0.09141056281979724,0.08977769009149804,2.156746438118033e-05,3.521692440659294e-08,9.175291201854403e-07,-0.0001733437156460268,0.0005677304037372558,-0.00033416174734509697,6.077653850023844e-05,-7.725810333290518e-05
